id,lyrics
1Gh4Ciaer0pMVEBcAle6GM,i got a feeling a real good feeling ima be faded the bar is open we just bought it ima be faded let the champagne pouuuur ouuuur ouuuur let the champagne pouuuur ouuuur ouuuur let the champagne damn i look good somebody take a photo i run my his house you can ask jojo yank fitted on my money on jeter my girls all dimes louie vuitton divas im fly like an overnight letter shorty sleep with me make your overnights wetter better im faded and tonight im gonna get wasted see to everybody listening if its on ima get at em i can say whatever im a tax paying citizen middle finger up i ain t got a conscience i just go hard like the trio from yonkers head honcho kush in the console bad boy now they shook like cosmos im all that everyday all black got ciroc on deck so im faded off that i got a feeling a real good feeling ima be faded the bar is open we just bought it ima be faded let the champagne pouuuur ouuuur ouuuur let the champagne pouuuur ouuuur ouuuur let the champagne  two homes on the block each one a mil and this ring on my finger is an e 1 deal canary yellow stone cant be faded fatigue belt 45 made for the navy young niggas ready to grapple down ya building im living chilling arms wrapped around a brazilian in the presence of a don be cautious but calm cant be faded two pills a charm she licks on my chest reading tats on my arm hit her form the back same time my mind blown speechless so she scream in silence a real bad boy and all my speeches violent i got a feeling a real good feeling ima be faded the bar is open we just bought it ima be faded let the champagne pouuuur ouuuur ouuuur let the champagne pouuuur ouuuur ouuuur let the champagne pour for them white girls that like girls we just buy all these bottles cause it excite girls yeah shorty go on kill a runway i knew you would have been a supermodel one day im mashing out lighting up on a highway shit im supposed to be high its the highway anybody wanna eat come saddle up my team getting money everybody tatted up marqee status flights no baggage dope dicks make these hoes cafe addicts huh and i am the most hated bottles to the face shake it up then spray it i got a feeling a real good feeling ima be faded the bar is open we just bought it ima be faded let the champagne pouuuur ouuuur ouuuur let the champagne pouuuur ouuuur ouuuur let the champagne2
6RH49kOurGNl02pT2iKOOp,yeah we fuckin did it we just motherfuckin did it never knowing we would make it now we re in here celebrating going crazy with my people shit s a bout to get real funny hahaha hmm well well well remember all you motherfuckers thought that we would fail you you said we would be broke wouldn t get no clientele but now we fuckin did it and i hope it gives you hell when we pull up in that maser rati pull off in that new bu gatti this is special you can feel it we just motherfuckin did it we just motherfuckin did it real funny hahaha hmm well well well remember all you motherfuckers thought that we would fail you you said we would be broke wouldn t get no clientele but now we fuckin did it and i hope it gives you hell when we pull up in that maser rati pull off in that new bu gatti this is special you can feel it we just motherfuckin did it we just motherfuckin did it we just motherfuckin did it6
5TPsvSTlVBLLfBsX9kcOhz,do you wanna build a snowman come on let s go and play i never see you anymore come out the door it s like you ve gone away we used to be best buddies and now we re not i wish you would tell me why do you wanna build a snowman it doesn t have to be a snowman okay bye do you wanna build a snowman or ride our bikes around the halls i think some company is overdue i ve started talking to the pictures on the walls it gets a little lonely all these empty rooms just watching the hours tick by do you wanna build a snowman it doesn t have to be a snowman okay bye okay bye please i know you re in there people are asking where you ve been they say have courage and i m trying to i m right out here for you just let me in we only have each other it s just you and me what are we gonna do do you wanna build a snowman do you wanna build a snowman it doesn t have to be a snowman okay bye okay bye 
3ZQ7bFBquNdzelPHbzwJd6,whisper to me softly breathe words upon my skin no one s near and listening so please don t say goodbye just hold me close and love me press your lips to mine mmm feels so right feels so right lying here beside you i hear the echoes of your sighs promise me you ll stay with me and keep me warm tonight just hold me close and love me give my heart a smile mmm feels so right feels so right your body feels so gentle and my passion rises high you re loving me so easy your wish is my command just hold me close and love me tell me it won t end mmm feels so right feels so right feels so right oh how you feel so right baby
2MDrt76cYJFGfQ92hG7qqy,i m gonna stay to myself where there s no one else around me i m gonna stay to myself so that no one else can find me that s what i m gonna do my baby love if i can t have you maybe i m better off on my own if i pray to myself maybe god above will hear me and if it is in his will then he ll send you right back to me i ll hold my feelings inside so that you won t see me cry i hope it s all in my mind cause i m scared i m gonna chill to myself leave the stress of a world from inside me i m gonna walk all alone and leave all my troubles behind that s what a man has to do in his life just to make it through i m gonna chill to myself since you left me baby i ve been steady cryin wonderin if you ever really truly loved me i ll never give my heart again baby can t you see just what is happening to me won t you come along and baby rescue me i can t stand being all alone be alone again another time another place another love maybe it will happen then but i won t live my life on faith no so i ll keep my tears inside and drift away where i m all alone  since you left me baby i ve been steady cryin wonderin if you ever really truly loved me i ll never give my heart again baby can t you see just what is happening to me won t you come along and baby rescue me i can t stand being all alone be all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone all alone 
5gbw4E1nzS0YMNGlqz24Ro,where did your long hair go where is the girl i used to know how could you lose that happy glow oh caroline no who took that look away i remember how you used to say you d never change but that s not true oh caroline you break my heart i wanna go and cry it s so sad to watch a sweet thing die oh caroline why could i ever find in you again things that made me love you so much then could we ever bring em back once they have gone oh caroline no oh caroline you break my heart i wanna go and cry it s so sad to watch a sweet thing die oh caroline why 
4gCAUYfksD0L6iiojpQtEa,tripping over things unsaid in a constant motion i cannot recognize the truth cause its unfamiliar if you didnt have so much left to prove would there be resistance kicking up this cloud of dust till it covers us i had been there and done it a thousand times but never with my eyes open you get what you paid for we cant sell our goddamn souls anymore anymore dont let them give you the runaround again again its up to you to make sense of it no one hesitates to taste when they come and throw the feed down if you wanna not make haste keep your feet on the ground i see you coming from a million miles away like a stampede of footsteps kicking up this cloud of dust till it covers us you cant control what has happened to your heart till you give it away till you give it away you get what you paid for we cant sell our goddamn souls anymore anymore dont let them give you the runaround again again its up to you to make sense of it so many words flooded in my vacant lie so little space too little sleep too little time tripping over things unsaid in a constant motion i cannot recognize the truth cause ive never known it ive never known it ive never known it known you get what you paid for we cant sell our goddamn souls anymore anymore dont let them give you the runaround again again its up to you to make sense of it  i hear you coming from a million miles away i hear you coming from a million miles away
0KT6H1QefBq369HyVqLT2u,i ve cussed on a sunday i ve cheated and i ve lied i ve fallen down from grace a few too many times but i find holy redemption when i put this car in drive roll the windows down and turn up the dial can i get a hallelujah can i get an amen feels like the holy ghost running through ya when i play the highway fm i find my soul revival singing every single verse yeah i guess that s my church when hank brings the sermon and cash leads the choir it gets my cold cold heart burning hotter than a ring of fire when this wonderful world gets heavy and i need to find my escape i just keep the wheels rolling radio scrolling until my sins wash away can i get a hallelujah can i get an amen feels like the holy ghost running through ya when i play the highway fm i find my soul revival singing every single verse yeah i guess that s my church and the people sing amen amen amen amen amen can i get a hallelujah can i get an amen feels like the holy ghost running through ya when i play the highway fm i find my soul revival singing every single verse yeah i guess that s my church can i get a hallelujah can i get an amen feels like the holy ghost running through ya when i play the highway fm i find my soul revival singing every single verse yeah i guess that s my church yeah i guess that s my church yeah i guess that s my church1
2uiB7SjF7yzMfFMHUlk5kt,watch out now take care beware of falling swingers dropping all around you the pain that often mingles in your fingertips beware of darkness watch out now take care beware of the thoughts that linger winding up inside your head the hopelessness around you in the dead of night beware of sadness it can hit you it can hurt you make you sore and what is more that is not what you are here for watch out now take care beware of soft shoe shufflers dancing down the sidewalks as each unconscious sufferer wanders aimlessly beware of maya watch out now take care beware of greedy leaders they take you where you should not go while weeping atlas cedars they just want to grow grow and grow beware of darkness 
3ysaKzkgwanjEscLhtCBHb,midnight 1am 2am 3am midnight 1am 2am 3am 4am 5am 6 7 8am 9am 10 lets do it again shapes get with shapes to make patterns letters find more letters to make words in other words let s get together and be something greater for you and me if we get to the bottom of it we can bring down the people on top midnight 1am 2am 3am midnight 1am 2am 3am 4am 5am 6 7 8am 9am 10 lets do it again midnight midnight midnight midnight you say you have it all you say you have it all you say you have it all you say you have it all but i ve had enough you say you have it all you say you have it all but i ve had enough so you wanted a hit motherfucker this is how we do hits nigga dtf dadt thoughts crack skulls like ddt don t get confused misconstrued you want real shit nigga i m the dude jeff bridges bitches let s hear it bitches mogilevich flow leave niggers in ditches sugar ray leave niggers in stitches lacerations and verbal incisions no time for you assholes i m so beau velasco hip hop s a hassle classic to classical been on sabbatical to keep the magic magical all terrain saint germain to north avenue positive attitude is how i feed the hunger came back to the war it takes more to keep me under i could make it rain but id rather make it thunder no wonder i run up in the club like cowabunga
