title,text
Fusinus bocagei,"Fusinus bocagei is a species of sea snail, a marine gastropod mollusk in the family Fasciolariidae, the spindle snails, the tulip snails and their allies.

Subspecies
 Fusinus bocagei bocagei (P. Fischer, 1882)
 Fusinus bocagei marcelpini Hadorn & Ryall, 1999

Description

Distribution
This species occurs in the Atlantic Ocean off the Iberian Peninsula.

References

 Gofas, S.; Le Renard, J.; Bouchet, P. (2001). Mollusca. in: Costello, M.J. et al. (eds), European Register of Marine Species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Patrimoines Naturels. 50: 180-213.
 Sysoev A.V. (2014). Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Gastropoda. Invertebrate Zoology. Vol.11. No.1: 134–155 
 Rolán E., 2005. Malacological Fauna From The Cape Verde Archipelago. Part 1, Polyplacophora and Gastropoda

External links
 Fischer P. (1882-1883). Diagnoses d'espèces nouvelles de mollusques recueillis dans le cours des expéditions scientifiques de l'aviso ""Le Travailleur"" (1880 et 1881). Journal de Conchyliologie 30: 49-53 [1882, 273-277]
 Dautzenberg, Ph. (1889). Contribution à la faune malacologique des Iles Açores. Résultats des Campagnes Scientifiques Accomplies sur son Yacht par Albert Ier Prince Souverain de Monaco, I. Imprimerie de Monaco: Monaco. 112, IV plates pp.
 Locard A. (1897-1898). Expéditions scientifiques du Travailleur et du Talisman pendant les années 1880, 1881, 1882 et 1883. Mollusques testacés. Paris, Masson. vol. 1 [1897, p. 1-516 pl. 1-22; vol. 2 [1898], p. 1-515, pl. 1-18]
 Bouchet, P.; Warén, A. (1985). Revision of the Northeast Atlantic bathyal and abyssal Neogastropoda excluding Turridae (Mollusca, Gastropoda). Bollettino Malacologico. supplement 1: 121-296
  Serge GOFAS, Ángel A. LUQUE, Joan Daniel OLIVER,José TEMPLADO & Alberto SERRA (2021) - The Mollusca of Galicia Bank (NE Atlantic Ocean); European Journal of Taxonomy 785: 1–114

bocagei
Gastropods described in 1882"
Airblaster,"Airblaster is a clothing company based in the United States that makes clothing and accessories for snowboarding and other winter sports. It is independently owned.

Airblaster's mission is to promote snowboarding and make OFP (Original Fun Products). Airblaster has been creating different types of mountain apparel for over 15 years. Airblaster has created unusual outerwear, goggles, and long underwear within snowboarding.

Personnel
Jesse Grandoski – owner/founder
Paul Miller – owner/founder
Travis Parker – owner/founder
Tyler Scharpf - owner

2017/ 2018 Airblaster team riders

Leanne Pelosi
Tim Eddy
Alek Østreng
Max Warbington
Erik Leon
Len Jørgensen
Temple Cummins
Madison Blackley
Freddy Perry
Tucker Andrews
Hannah Eddy
Taylor Carlton
Jackson Fowler
Max Tokunaga
Yusaku Horii
Nick Dirks
Travis Parker

References

External links
Official website

Clothing companies of the United States
Manufacturing companies based in Portland, Oregon
Clothing companies established in 2002
Retail companies established in 2002
Privately held companies based in Oregon
2002 establishments in Oregon"
Salil Bhatt,"Salil Bhatt is an Indian slide guitar player. He is the son of the fellow slide player and Grammy Award winner, Padmashree Vishwa Mohan Bhatt.

His latest album, Slide to Freedom 2 - Make a Better World, was nominated for a Canadian Juno Award.

Discography
Strings Of Freedom
Revitalise
Swar Shikhar
Sopaan
Slide to Freedom (Part I & II)
Out of the Shadows
Mumbai to Munich
Revival of Gavati
Relax
Karnatikas Veena Jugal-Bandi
Mohan's Veena

References

Hindustani instrumentalists
Indian guitarists
Living people
Slide guitarists
Musicians from Jaipur
Year of birth missing (living people)
Northern Blues Music artists"
"St John the Baptist's Church, Bretherton","St John the Baptist's Church is in the village of Bretherton, Lancashire, England. It is an active Anglican parish church in the deanery of Chorley, the archdeaconry of Blackburn and the diocese of Blackburn. Its benefice is united with that of St Michael and All Angels, Croston. The church is recorded in the National Heritage List for England as a designated Grade II listed building. It was a Commissioners' church, having received a grant towards its construction from the Church Building Commission.

History

St John's was a Commissioners' church costing £1,058 (equivalent to £ in ).  The Church Building Commission contributed £250 towards its cost.  It was designed by the Lancaster architect Edmund Sharpe and built in 1839–40.  The land was given by George Arthur Legh Keck. The church provided seating for 400 people.  In July 1840 it was consecrated by Rt Revd John Bird Sumner, at that time the Bishop of Chester.  The church was restored in 1898 by Sharpe's successors Austin and Paley, who also added a chancel and vestry in 1908–09. In September 2009 the church was damaged by fire caused by an arsonist.

Architecture

The church is constructed in sandstone with slate roofs. Its plan consists of a five-bay nave incorporating a south porch, and a two-bay chancel under a higher roof. The style of the nave is ""simple Gothic"", while that of the chancel is Perpendicular. At the west end is a slender tower, the lowest stage of which constitutes a porch that is open on three sides. Above this are three string courses, the top one of which is stepped over the bell opening. At the corners are buttresses that rise to form crocketted pinnacles. At the top of the tower between the pinnacles is a stepped parapet. A slim octagonal spire rises from the tower. The porch has an arched doorway over which is a lancet window. Its top is gabled and has a cross finial. The east window has five lights and Perpendicular tracery. Inside the church is a west gallery supported on four slim iron columns. The two-manual organ was built by Ainscough Organ Builders of Preston in 1929, and rebuilt and extended by David Wells of Liverpool in 2000.

External features

The churchyard contains the war grave of a Loyal Regiment soldier of World War I.

See also

Listed buildings in Bretherton
List of architectural works by Edmund Sharpe
List of ecclesiastical works by Austin and Paley (1895–1914)
List of Commissioners' churches in Northeast and Northwest England

Gallery

References

Citations

Sources

Church of England church buildings in Lancashire
Grade II listed churches in Lancashire
Gothic Revival church buildings in England
Gothic Revival architecture in Lancashire
Churches completed in 1909
19th-century Church of England church buildings
Diocese of Blackburn
Edmund Sharpe buildings
Austin and Paley buildings
Commissioners' church buildings
John, Bretherton
Religious buildings and structures in the United Kingdom destroyed by arson"
Forks in the Road Schoolhouse,"Forks in the Road Schoolhouse is a historic one-room school building located at South Gilboa in Schoharie County, New York. It is a one-story, rectangular, gable roofed, timber-framed building built in 1849.  It operated as a school into the 1930s.  Also on the property is a privy.

It was listed on the National Register of Historic Places in 2005.

References

One-room schoolhouses in New York (state)
Schoolhouses in the United States
School buildings on the National Register of Historic Places in New York (state)
School buildings completed in 1849
Buildings and structures in Schoharie County, New York
1849 establishments in New York (state)
National Register of Historic Places in Schoharie County, New York"
Wahid Omar,"Waheed Omar (Dari:وحید عمر) (born March 1978) is a politician in Afghanistan currently serving as President Ghani's Senior Advisor and Director General of Office of Public and Strategic Affairs. From 2016 to 2019 he served as Ambassador of Afghanistan to Italy. He was also Afghanistan's Permanent Representative to World Food Programme, International Fund for Agricultural Development, FAO and IDLO. Between 2009 and 2011 he served as Chief Spokesperson of President of Afghanistan, Hamid Karzai. He helped President Karzai win his second term as Communications Director of his reelection campaign in 2009. During the electoral campaign and the aftermath of the election he was often seen as Karzai's one-man frontline. Both President Karzai's supporters as well as his opponents recognized Waheed Omer's eloquence, civil debate skills, his equal fluency in Pashto and Persian, and his media-management skills. .

Before being a campaign spokesperson, Omar was the founding Director of the Government Media and Information Center, formed in 2009 to oversee communications between the government, Afghan citizens and the international community.

Biography
Waheed Omar was born and raised in Kabul as an ethnic Pashtun. His early schooling took place in Kabul and Peshawar, Pakistan. He later attended the University of York in the United Kingdom where he received a Master of Arts degree in political science. At York, Omar focused on Post-Conflict Reconstruction and Development. His MA thesis was on South Africa's post-apartheid transitional justice mechanisms and how on how some of those lessons could be applied to post-war Afghanistan.

Before his appointment as Karzai's chief spokesperson, Omar served the Government of Afghanistan in several high-level positions, including as the deputy director of the Office of Administrative Affairs (2007–2008), and the chief organizing officer of the Af-Pak Peace Jirga. He also has worked with international and domestic non-government institutions such as the Swedish Committee for Afghanistan, The Friedrich-Ebert-Stiftung and Sanayee Development Foundation. Omar has been an activist and writer from a young age, establishing Afghan Youth Foundation for Unity in Peshawer when he was in his early 20s. He led the establishment of FES, Afghanistan Young Leaders Forum in 2003. He has published a children's book and several articles and poems in Dari, Pashto and English.

Omar speaks both of the official languages of Afghanistan, Persian and Pashto, as well as English, and is proficient in Urdu/Hindi and German.

See also
Karzai administration

References

External links
Friedrich-Ebert-Stiftung Afghanistan Office

Living people
People from Kabul
Pashtun people
Alumni of the University of York
1978 births
Spokespersons
Political office-holders in Afghanistan
Afghan government officials"
1944 United States Senate election in North Dakota,"The 1944 United States Senate election in North Dakota took place on November 7, 1944. Incumbent Republican Senator Gerald Nye ran for re-election to his fourth term. He faced a serious challenge to his renomination in the Republican primary, with prominent Fargo attorney Lynn Stambaugh and Congressman Usher L. Burdick running against him. He won with one-third of the vote, defeating Shambaugh, his closest opponent, by fewer than 1,000 votes. In the general election, Stambaugh continued his campaign against Nye as an independent, splitting the Republican vote as Governor John Moses, the Democratic nominee, ran a strong campaign. Though Nye had benefited from crowded general elections before, he bled Republican support to Stambaugh and Moses unseated him with just 45% of the vote. However, just a few months into Moses's term, he died in office, flipping the seat back to Republican control and triggering a June 1946 special election.

Democratic Primary

Candidates
 John Moses, Governor of North Dakota

Results

Republican Primary

Candidates
 Gerald Nye, incumbent U.S. Senator
 Lynn Stambaugh, Fargo attorney, former national commander of the American Legion
 Usher L. Burdick, U.S. Congressman from North Dakota's at-large congressional district
 A. C. Townley

Results

General election

Results

References

1944
North Dakota
United States Senate"
Wilf Crompton,"Wilfred Crompton (1 April 1908 – 1971) was an English professional footballer who played as an outside forward. He played in the Football League with Blackburn Rovers, Burnley, Gillingham and Luton Town.

References

1908 births
1971 deaths
Date of death missing
Place of death missing
Footballers from Blackburn
English footballers
Association football outside forwards
Blackburn Rovers F.C. players
Burnley F.C. players
Gillingham F.C. players
Luton Town F.C. players
English Football League players"
"Changuinola ""Capitán Manuel Niño"" International Airport","Changuinola ""Capitan Manuel Niño"" International Airport ()  is an airport serving Changuinola, the capital of the Changuinola District in the Bocas del Toro Province in Panama. The name is in honor of the first Panamanian pilot.

Facilities
The airport is in an agricultural region  inland from the Caribbean coast, and  east of the border with Costa Rica.

The airport resides at an elevation of  above mean sea level. It has one runway designated 03/21 with an asphalt surface measuring .

The Bocas Del Toro VOR-DME (Ident: BDT) is located  east-southeast of the airport. The Limon VOR-DME (Ident: LIO) is located  northwest of airport.

The Airport terminal is a two-story building, similar to the Enrique Malek International Airport terminal building. The ground floor has a waiting area, bathrooms, cafeteria, and space for three regional carriers offices. The second floor has administrative offices and other government agency offices. Next to the terminal, there is an air traffic control tower, Bocas Fruit Co., and ATOPAN (aerial fumigation) hangars.

Airlines and destinations

See also
Transport in Panama
List of airports in Panama

References

External links
OpenStreetMap - Changuinola

OurAirports - Cap Manuel Niño International Airport

Airports in Panama
Buildings and structures in Bocas del Toro Province"
FSV Union Fürstenwalde,"FSV Union Fürstenwalde is a German football club from Fürstenwalde/Spree, currently playing in the Regionalliga Nordost (IV). As with many East German clubs at the time, the club (or clubs) has (or have) a complicated history of formations, re-formations, ownership changes, legal changes, name-changes and mergers; however the lineage can be traced back as far back as 1919, with the current incarnation formed in 2002.

History
The roots of the club go back to SC Union 06 Oberschönweide Abt. Fürstenwalde, formed in 1919 as a section of Berlin-based SC Union 06 Oberschöneweide and adopted the name SC Union Fürstenwalde in 1927 after separating from the latter club. Union went through a number of name changes and merger after 1945 but eventually, in 1971, became SG Dynamo Fürstenwalde. Dynamo, affiliated to sports association SV Dynamo and associated with the Stasi, the secret police of East Germany, experienced some success at the second level of GDR football, the DDR-Liga. With the end of East Germany Dynamo was dissolved and Union reformed. In 2002 Union merged with Wacker Fürstenwalde to form the current club.

The club's recent rise through the league system began when it won promotion to the Brandenburg-Liga, the highest league in the state, in 2008. A championship at this level in 2011 took the club up to the NOFV-Oberliga Nord where it played until 2016, when another title there brought Union up to the Regionalliga Nordost for the first time.

Naming history

Current squad

Honours
The club's honours:
 DDR-Liga Staffel B
 Champions: 1979–80 (as SG Dynamo Fürstenwalde)
 FDGB-Pokal
 Best result: 1988–89 third round
 Brandenburg-Liga (VI)
 Champions: 2010–11
 Landesliga Brandenburg-Süd
 Champions: 2007–08
 Brandenburg Cup
 Champions: 2020
 Runners-up: 2015, 2021
 NOFV-Oberliga Nord (V)
 Champions: 2015–16

References

External links 
 FSV Union Fürstenwalde 

Football clubs in Germany
Football clubs in Brandenburg
Football clubs in East Germany
Association football clubs established in 1919
1919 establishments in Germany
Association football clubs established in 1927
1927 establishments in Germany
Association football clubs established in 1933
1933 establishments in Germany
Association football clubs established in 1946
1946 establishments in Germany
Association football clubs established in 1950
1950 establishments in Germany
Association football clubs established in 1958
1958 establishments in Germany
Association football clubs established in 1961
1961 establishments in Germany
Association football clubs established in 1971
1971 establishments in Germany
Association football clubs established in 1990
1990 establishments in Germany
Association football clubs established in 2002
2002 establishments in Germany
Police association football clubs in Germany"
